Time,data
3.015210628,0.0
352.387605905,340.13067626953125
488.651944398,238.181884765625
625.454634427,204.3507537841797
762.882484197,187.60317993164062
900.431691408,177.50311279296875
1442.417286634,238.30857849121094
1579.994291067,223.8920135498047
1717.172299623,213.0510711669922
1854.180105924,204.60470581054688
1991.135190725,197.83216857910156
2535.373808145,229.310546875
2672.894138097,221.66314697265625
2810.215204954,215.17396545410156
2947.367025613,209.594970703125
3084.366189241,204.75250244140625
3627.277241945,225.88134765625
3764.123386144,220.64111328125
3901.199256181,215.99432373046875
4038.124827146,211.83404541015625
4175.576685666,208.10855102539062
4721.265045404,224.18531799316406
4858.707433938,220.23712158203125
4995.592170953,216.61148071289062
5132.944260835,213.3079833984375
5270.210653543,210.26202392578125
5813.507848977,223.0696258544922
5950.87566018,219.8960418701172
6088.24920535,216.94361877441406
6225.478903055,214.18685913085938
6362.644373178,211.61978149414062
6906.652408838,222.3391571044922
7043.616200685,219.67050170898438
7181.190792322,217.17933654785156
